count,daily_change,day
4281,61.0,2022-05-02T00:00:00
4542,19.0,2022-05-24T00:00:00
1272,8.0,2021-08-15T00:00:00
2595,-49.0,2022-02-01T00:00:00
4542,0.0,2022-05-26T00:00:00
4091,9.0,2022-04-22T00:00:00
4564,40.0,2022-06-06T00:00:00
2343,7.0,2021-12-22T00:00:00
3461,37.0,2022-03-20T00:00:00
2699,67.0,2022-01-04T00:00:00
1930,17.0,2021-11-05T00:00:00
3464,-43.0,2022-03-11T00:00:00
1265,7.0,2021-08-14T00:00:00
4263,-4.0,2022-04-29T00:00:00
1697,7.0,2021-10-11T00:00:00
2113,9.0,2021-11-20T00:00:00
4493,11.0,2022-05-22T00:00:00
2282,4.0,2021-12-11T00:00:00
1726,2.0,2021-10-23T00:00:00
2928,-62.0,2022-02-17T00:00:00
